reverse_num,reverse_rate,organism_num,organism_rate
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
11,5.72727272727273,11,5.72727272727273
12,5.83333333333333,12,5.83333333333333
13,6.07692307692308,13,6.07692307692308
13,6.07692307692308,13,6.07692307692308
14,6.21428571428571,14,6.21428571428571
14,6.21428571428571,14,6.21428571428571
15,6.26666666666667,15,6.26666666666667
15,6.26666666666667,15,6.26666666666667
15,6.26666666666667,15,6.26666666666667
16,6.125,16,6.125
16,6.125,16,6.125
17,6.23529411764706,17,6.23529411764706
17,6.23529411764706,17,6.23529411764706
19,6.42105263157895,19,6.42105263157895
21,6.42857142857143,21,6.42857142857143
21,6.42857142857143,21,6.42857142857143
23,6.60869565217391,23,6.60869565217391
24,6.70833333333333,24,6.70833333333333
24,6.70833333333333,24,6.70833333333333
25,6.76,25,6.76
25,6.76,25,6.76
26,6.80769230769231,26,6.80769230769231
28,6.71428571428571,28,6.71428571428571
29,6.72413793103448,29,6.72413793103448
29,6.72413793103448,29,6.72413793103448
31,6.74193548387097,31,6.74193548387097
33,6.87878787878788,33,6.87878787878788
35,6.94285714285714,35,6.94285714285714
36,6.91666666666667,36,6.91666666666667
37,6.91891891891892,37,6.91891891891892
41,7.02439024390244,41,7.02439024390244
43,7.11627906976744,43,7.11627906976744
43,7.11627906976744,43,7.11627906976744
44,7.18181818181818,44,7.18181818181818
46,7.17391304347826,46,7.17391304347826
48,7.14583333333333,48,7.14583333333333
50,7.2,50,7.2
53,7.22641509433962,53,7.22641509433962
55,7.21818181818182,55,7.21818181818182
60,7.15,60,7.15
63,7.11111111111111,63,7.11111111111111
67,7.14925373134328,67,7.14925373134328
71,7.14084507042254,71,7.14084507042254
72,7.16666666666667,72,7.16666666666667
77,7.22077922077922,77,7.22077922077922
80,7.25,80,7.25
82,7.28048780487805,82,7.28048780487805
86,7.2906976744186,86,7.2906976744186
90,7.24444444444444,90,7.24444444444444
94,7.24468085106383,94,7.24468085106383
96,7.26041666666667,96,7.26041666666667
102,7.23529411764706,102,7.23529411764706
109,7.24770642201835,109,7.24770642201835
112,7.28571428571429,112,7.28571428571429
117,7.28205128205128,117,7.28205128205128
125,7.296,125,7.296
135,7.22222222222222,135,7.22222222222222
142,7.25352112676056,142,7.25352112676056
149,7.24832214765101,149,7.24832214765101
152,7.21710526315789,152,7.21710526315789
160,7.21875,160,7.21875
165,7.24848484848485,165,7.24848484848485
173,7.24277456647399,173,7.24277456647399
181,7.28176795580111,181,7.28176795580111
190,7.28421052631579,190,7.28421052631579
199,7.25628140703518,199,7.25628140703518
207,7.2512077294686,207,7.2512077294686
217,7.25806451612903,217,7.25806451612903
228,7.26754385964912,228,7.26754385964912
242,7.26446280991736,242,7.26446280991736
252,7.26190476190476,252,7.26190476190476
266,7.2593984962406,266,7.2593984962406
278,7.24460431654676,278,7.24460431654676
290,7.22068965517241,290,7.22068965517241
300,7.24,300,7.24
314,7.22929936305732,314,7.22929936305732
334,7.22455089820359,334,7.22455089820359
346,7.21387283236994,346,7.21387283236994
361,7.22160664819945,361,7.22160664819945
375,7.25066666666667,375,7.25066666666667
395,7.23544303797468,395,7.23544303797468
414,7.23429951690821,414,7.23429951690821
432,7.19444444444444,432,7.19444444444444
460,7.18695652173913,460,7.18695652173913
478,7.19456066945607,478,7.19456066945607
505,7.2,505,7.2
531,7.16760828625235,531,7.16760828625235
556,7.17086330935252,556,7.17086330935252
586,7.15358361774744,586,7.15358361774744
612,7.12254901960784,612,7.12254901960784
639,7.09546165884194,639,7.09546165884194
672,7.10416666666667,672,7.10416666666667
699,7.12303290414878,699,7.12303290414878
736,7.12092391304348,736,7.12092391304348
758,7.13192612137203,758,7.13192612137203
787,7.12325285895807,787,7.12325285895807
827,7.11487303506651,827,7.11487303506651
869,7.10471806674338,869,7.10471806674338
920,7.11521739130435,920,7.11521739130435
962,7.12785862785863,962,7.12785862785863
999,7.13213213213213,999,7.13213213213213
999,7.13613613613614,999,7.13613613613614
999,7.14814814814815,999,7.14814814814815
999,7.14214214214214,999,7.14214214214214
999,7.14814814814815,999,7.14814814814815
999,7.14414414414414,999,7.14414414414414
999,7.14214214214214,999,7.14214214214214
999,7.14514514514515,999,7.14514514514515
999,7.13213213213213,999,7.13213213213213
999,7.15115115115115,999,7.15115115115115
999,7.16316316316316,999,7.16316316316316
999,7.16816816816817,999,7.16816816816817
999,7.16416416416416,999,7.16416416416416
999,7.15915915915916,999,7.15915915915916
999,7.17117117117117,999,7.17117117117117
999,7.18118118118118,999,7.18118118118118
999,7.17517517517518,999,7.17517517517518
999,7.16716716716717,999,7.16716716716717
999,7.16416416416416,999,7.16416416416416
999,7.16616616616617,999,7.16616616616617
999,7.17017017017017,999,7.17017017017017
999,7.16616616616617,999,7.16616616616617
999,7.16416416416416,999,7.16416416416416
999,7.16516516516517,999,7.16516516516517
999,7.15415415415415,999,7.15415415415415
999,7.15915915915916,999,7.15915915915916
999,7.16616616616617,999,7.16616616616617
999,7.17317317317317,999,7.17317317317317
999,7.17217217217217,999,7.17217217217217
999,7.17017017017017,999,7.17017017017017
999,7.16816816816817,999,7.16816816816817
999,7.17017017017017,999,7.17017017017017
999,7.16916916916917,999,7.16916916916917
999,7.16516516516517,999,7.16516516516517
999,7.15715715715716,999,7.15715715715716
999,7.15915915915916,999,7.15915915915916
999,7.16016016016016,999,7.16016016016016
999,7.15915915915916,999,7.15915915915916
999,7.15115115115115,999,7.15115115115115
999,7.15215215215215,999,7.15215215215215
999,7.16916916916917,999,7.16916916916917
999,7.16216216216216,999,7.16216216216216
999,7.15915915915916,999,7.15915915915916
999,7.16116116116116,999,7.16116116116116
999,7.15515515515516,999,7.15515515515516
999,7.16616616616617,999,7.16616616616617
999,7.16216216216216,999,7.16216216216216
999,7.16116116116116,999,7.16116116116116
999,7.16216216216216,999,7.16216216216216
999,7.15915915915916,999,7.15915915915916
999,7.16216216216216,999,7.16216216216216
999,7.16616616616617,999,7.16616616616617
999,7.17117117117117,999,7.17117117117117
999,7.17117117117117,999,7.17117117117117
999,7.18618618618619,999,7.18618618618619
999,7.17817817817818,999,7.17817817817818
999,7.17817817817818,999,7.17817817817818
999,7.16316316316316,999,7.16316316316316
999,7.15815815815816,999,7.15815815815816
999,7.16516516516517,999,7.16516516516517
999,7.16616616616617,999,7.16616616616617
999,7.17617617617618,999,7.17617617617618
999,7.18118118118118,999,7.18118118118118
999,7.18518518518519,999,7.18518518518519
999,7.18618618618619,999,7.18618618618619
999,7.18418418418418,999,7.18418418418418
999,7.18418418418418,999,7.18418418418418
999,7.18218218218218,999,7.18218218218218
999,7.17617617617618,999,7.17617617617618
999,7.17117117117117,999,7.17117117117117
999,7.15815815815816,999,7.15815815815816
999,7.16316316316316,999,7.16316316316316
999,7.15615615615616,999,7.15615615615616
999,7.15615615615616,999,7.15615615615616
999,7.15515515515516,999,7.15515515515516
999,7.16116116116116,999,7.16116116116116
999,7.15015015015015,999,7.15015015015015
999,7.15315315315315,999,7.15315315315315
999,7.15715715715716,999,7.15715715715716
999,7.15115115115115,999,7.15115115115115
999,7.15215215215215,999,7.15215215215215
999,7.14714714714715,999,7.14714714714715
999,7.14714714714715,999,7.14714714714715
999,7.15115115115115,999,7.15115115115115
999,7.15715715715716,999,7.15715715715716
999,7.16016016016016,999,7.16016016016016
