forward_num,forward_rate,organism_num,organism_rate
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
10,5.5,10,5.5
11,5.81818181818182,11,5.81818181818182
12,6.16666666666667,12,6.16666666666667
13,6.38461538461539,13,6.38461538461539
13,6.38461538461539,13,6.38461538461539
14,6.5,14,6.5
14,6.5,14,6.5
15,6.4,15,6.4
15,6.4,15,6.4
15,6.4,15,6.4
15,6.4,15,6.4
17,6.35294117647059,17,6.35294117647059
19,6.57894736842105,19,6.57894736842105
20,6.75,20,6.75
20,6.75,20,6.75
21,6.80952380952381,21,6.80952380952381
23,6.65217391304348,23,6.65217391304348
23,6.65217391304348,23,6.65217391304348
24,6.75,24,6.75
24,6.75,24,6.75
25,6.8,25,6.8
26,6.88461538461539,26,6.88461538461539
26,6.88461538461539,26,6.88461538461539
27,6.96296296296296,27,6.96296296296296
33,7.03030303030303,33,7.03030303030303
35,7.05714285714286,35,7.05714285714286
36,7.08333333333333,36,7.08333333333333
37,7.08108108108108,37,7.08108108108108
38,7.05263157894737,38,7.05263157894737
40,7.175,40,7.175
40,7.175,40,7.175
43,7.11627906976744,43,7.11627906976744
45,7.2,45,7.2
47,7.25531914893617,47,7.25531914893617
51,7.35294117647059,51,7.35294117647059
54,7.46296296296296,54,7.46296296296296
57,7.42105263157895,57,7.42105263157895
59,7.42372881355932,59,7.42372881355932
62,7.45161290322581,62,7.45161290322581
66,7.45454545454545,66,7.45454545454545
69,7.49275362318841,69,7.49275362318841
72,7.36111111111111,72,7.36111111111111
75,7.38666666666667,75,7.38666666666667
77,7.41558441558442,77,7.41558441558442
84,7.51190476190476,84,7.51190476190476
94,7.57446808510638,94,7.57446808510638
95,7.57894736842105,95,7.57894736842105
98,7.58163265306122,98,7.58163265306122
103,7.58252427184466,103,7.58252427184466
110,7.59090909090909,110,7.59090909090909
114,7.64035087719298,114,7.64035087719298
120,7.63333333333333,120,7.63333333333333
126,7.67460317460317,126,7.67460317460317
131,7.68702290076336,131,7.68702290076336
138,7.71739130434783,138,7.71739130434783
146,7.71917808219178,146,7.71917808219178
159,7.75471698113208,159,7.75471698113208
166,7.80120481927711,166,7.80120481927711
178,7.73595505617978,178,7.73595505617978
187,7.7379679144385,187,7.7379679144385
194,7.75257731958763,194,7.75257731958763
201,7.80099502487562,201,7.80099502487562
214,7.7803738317757,214,7.7803738317757
222,7.83333333333333,222,7.83333333333333
231,7.85281385281385,231,7.85281385281385
245,7.84081632653061,245,7.84081632653061
263,7.86311787072243,263,7.86311787072243
280,7.87857142857143,280,7.87857142857143
298,7.86241610738255,298,7.86241610738255
315,7.85079365079365,315,7.85079365079365
326,7.83435582822086,326,7.83435582822086
352,7.83238636363636,352,7.83238636363636
373,7.83914209115281,373,7.83914209115281
391,7.85166240409207,391,7.85166240409207
406,7.8743842364532,406,7.8743842364532
427,7.903981264637,427,7.903981264637
453,7.93818984547461,453,7.93818984547461
481,7.96465696465696,481,7.96465696465696
504,8.00595238095238,504,8.00595238095238
528,7.99810606060606,528,7.99810606060606
550,8.01090909090909,550,8.01090909090909
577,8.0103986135182,577,8.0103986135182
616,8.01136363636364,616,8.01136363636364
652,7.99693251533742,652,7.99693251533742
688,8.01598837209302,688,8.01598837209302
740,8.02432432432432,740,8.02432432432432
781,8.03585147247119,781,8.03585147247119
819,8.04761904761905,819,8.04761904761905
858,8.05477855477855,858,8.05477855477855
922,8.07592190889371,922,8.07592190889371
970,8.08865979381443,970,8.08865979381443
999,8.06106106106106,999,8.06106106106106
999,8.04204204204204,999,8.04204204204204
999,8.03503503503504,999,8.03503503503504
999,8.02202202202202,999,8.02202202202202
999,8.03003003003003,999,8.03003003003003
999,8.02602602602603,999,8.02602602602603
999,8.02402402402402,999,8.02402402402402
999,8.02802802802803,999,8.02802802802803
999,8.03603603603604,999,8.03603603603604
999,8.04104104104104,999,8.04104104104104
999,8.04104104104104,999,8.04104104104104
999,8.03603603603604,999,8.03603603603604
999,8.02702702702703,999,8.02702702702703
999,8.03703703703704,999,8.03703703703704
999,8.03003003003003,999,8.03003003003003
999,8.03203203203203,999,8.03203203203203
999,8.03803803803804,999,8.03803803803804
999,8.04204204204204,999,8.04204204204204
999,8.04104104104104,999,8.04104104104104
999,8.05305305305305,999,8.05305305305305
999,8.05605605605606,999,8.05605605605606
999,8.04204204204204,999,8.04204204204204
999,8.03303303303303,999,8.03303303303303
999,8.03303303303303,999,8.03303303303303
999,8.03603603603604,999,8.03603603603604
999,8.03303303303303,999,8.03303303303303
999,8.02902902902903,999,8.02902902902903
999,8.02202202202202,999,8.02202202202202
999,8.00600600600601,999,8.00600600600601
999,8.01701701701702,999,8.01701701701702
999,8.02102102102102,999,8.02102102102102
999,8.01601601601602,999,8.01601601601602
999,8.02202202202202,999,8.02202202202202
999,8.01301301301301,999,8.01301301301301
999,7.996996996997,999,7.996996996997
999,7.996996996997,999,7.996996996997
999,8.001001001001,999,8.001001001001
999,8.00600600600601,999,8.00600600600601
999,7.996996996997,999,7.996996996997
999,7.995995995996,999,7.995995995996
999,7.99399399399399,999,7.99399399399399
999,7.996996996997,999,7.996996996997
999,7.99299299299299,999,7.99299299299299
999,7.99299299299299,999,7.99299299299299
999,7.98298298298298,999,7.98298298298298
999,7.98698698698699,999,7.98698698698699
999,7.98798798798799,999,7.98798798798799
999,7.98298298298298,999,7.98298298298298
999,7.97897897897898,999,7.97897897897898
999,7.98098098098098,999,7.98098098098098
999,7.96496496496496,999,7.96496496496496
999,7.96496496496496,999,7.96496496496496
999,7.95395395395395,999,7.95395395395395
999,7.95795795795796,999,7.95795795795796
999,7.95595595595596,999,7.95595595595596
999,7.96196196196196,999,7.96196196196196
999,7.96396396396396,999,7.96396396396396
999,7.96496496496496,999,7.96496496496496
999,7.97397397397397,999,7.97397397397397
999,7.96296296296296,999,7.96296296296296
999,7.95395395395395,999,7.95395395395395
999,7.96896896896897,999,7.96896896896897
999,7.96996996996997,999,7.96996996996997
999,7.97397397397397,999,7.97397397397397
999,7.96996996996997,999,7.96996996996997
999,7.96396396396396,999,7.96396396396396
999,7.95295295295295,999,7.95295295295295
999,7.95495495495495,999,7.95495495495495
999,7.93493493493493,999,7.93493493493493
999,7.93393393393393,999,7.93393393393393
999,7.92692692692693,999,7.92692692692693
999,7.91891891891892,999,7.91891891891892
999,7.92592592592593,999,7.92592592592593
999,7.92492492492492,999,7.92492492492492
999,7.93093093093093,999,7.93093093093093
999,7.91991991991992,999,7.91991991991992
999,7.91291291291291,999,7.91291291291291
999,7.9019019019019,999,7.9019019019019
999,7.9049049049049,999,7.9049049049049
999,7.9019019019019,999,7.9019019019019
999,7.89489489489489,999,7.89489489489489
999,7.8978978978979,999,7.8978978978979
999,7.8998998998999,999,7.8998998998999
999,7.8978978978979,999,7.8978978978979
999,7.8988988988989,999,7.8988988988989
999,7.89089089089089,999,7.89089089089089
999,7.88788788788789,999,7.88788788788789
999,7.8988988988989,999,7.8988988988989
999,7.8988988988989,999,7.8988988988989
999,7.90590590590591,999,7.90590590590591
999,7.90690690690691,999,7.90690690690691
999,7.91091091091091,999,7.91091091091091
999,7.9029029029029,999,7.9029029029029
999,7.90890890890891,999,7.90890890890891
999,7.90890890890891,999,7.90890890890891
999,7.92292292292292,999,7.92292292292292
999,7.91991991991992,999,7.91991991991992
999,7.90590590590591,999,7.90590590590591
999,7.91391391391391,999,7.91391391391391
